IdPedido,IdProducto,PrecioUnidad,Cantidad,Descuento
10523,17,39,25,0.1
10523,20,81,15,0.1
10523,37,26,18,0.1
10523,41,9.65,6,0.1
10524,10,31,2,0
10524,30,25.89,10,0
10524,43,46,60,0
10524,54,7.45,15,0
10525,36,19,30,0
10525,40,18.4,15,0.1
10526,1,18,8,0.15
10526,13,6,10,0
10526,56,38,30,0.15
10527,4,22,50,0.1
10527,36,19,30,0.1
10528,11,21,3,0
10528,33,2.5,8,0.2
10528,72,34.8,9,0
10529,55,24,14,0
10529,68,12.5,20,0
10529,69,36,10,0
10530,17,39,40,0
10530,43,46,25,0
10530,61,28.5,20,0
10530,76,18,50,0
10531,59,55,2,0
10532,30,25.89,15,0
10532,66,17,24,0
10533,4,22,50,0.05
10533,72,34.8,24,0
10533,73,15,24,0.05
10534,30,25.89,10,0
10534,40,18.4,10,0.2
10534,54,7.45,10,0.2
10535,11,21,50,0.1
10535,40,18.4,10,0.1
10535,57,19.5,5,0.1
10535,59,55,15,0.1
10536,12,38,15,0.25
10536,31,12.5,20,0
10536,33,2.5,30,0
10536,60,34,35,0.25
10537,31,12.5,30,0
10537,51,53,6,0
10537,58,13.25,20,0
10537,72,34.8,21,0
10537,73,15,9,0
10538,70,15,7,0
10538,72,34.8,1,0
10539,13,6,8,0
10539,21,10,15,0
10539,33,2.5,15,0
10539,49,20,6,0
10540,3,10,60,0
10540,26,31.23,40,0
10540,38,263.5,30,0
10540,68,12.5,35,0
10541,24,4.5,35,0.1
10541,38,263.5,4,0.1
10541,65,21.05,36,0.1
10541,71,21.5,9,0.1
10542,11,21,15,0.05
10542,54,7.45,24,0.05
10543,12,38,30,0.15
10543,23,9,70,0.15
10544,28,45.6,7,0
10544,67,14,7,0
10545,11,21,10,0
10546,7,30,10,0
10546,35,18,30,0
10546,62,49.3,40,0
10547,32,32,24,0.15
10547,36,19,60,0
10548,34,14,10,0.25
10548,41,9.65,14,0
10549,31,12.5,55,0.15
10549,45,9.5,100,0.15
10549,51,53,48,0.15
10550,17,39,8,0.1
10550,19,9.2,10,0
10550,21,10,6,0.1
10550,61,28.5,10,0.1
10551,16,17.45,40,0.15
10551,35,18,20,0.15
10551,44,19.45,40,0
10552,69,36,18,0
10552,75,7.75,30,0
10553,11,21,15,0
10553,16,17.45,14,0
10553,22,21,24,0
10553,31,12.5,30,0
10553,35,18,6,0
10554,16,17.45,30,0.05
10554,23,9,20,0.05
10554,62,49.3,20,0.05
10554,77,13,10,0.05
