IdPedido,IdProducto,PrecioUnidad,Cantidad,Descuento
10651,19,9.2,12,0.25
10651,22,21,20,0.25
10652,30,25.89,2,0.25
10652,42,14,20,0
10653,16,17.45,30,0.1
10653,60,34,20,0.1
10654,4,22,12,0.1
10654,39,18,20,0.1
10654,54,7.45,6,0.1
10655,41,9.65,20,0.2
10656,14,23.25,3,0.1
10656,44,19.45,28,0.1
10656,47,9.5,6,0.1
10657,15,15.5,50,0
10657,41,9.65,24,0
10657,46,12,45,0
10657,47,9.5,10,0
10657,56,38,45,0
10657,60,34,30,0
10658,21,10,60,0
10658,40,18.4,70,0.05
10658,60,34,55,0.05
10658,77,13,70,0.05
10659,31,12.5,20,0.05
10659,40,18.4,24,0.05
10659,70,15,40,0.05
10660,20,81,21,0
10661,39,18,3,0.2
10661,58,13.25,49,0.2
10662,68,12.5,10,0
10663,40,18.4,30,0.05
10663,42,14,30,0.05
10663,51,53,20,0.05
10664,10,31,24,0.15
10664,56,38,12,0.15
10664,65,21.05,15,0.15
10665,51,53,20,0
10665,59,55,1,0
10665,76,18,10,0
10666,29,123.79,36,0
10666,65,21.05,10,0
10667,69,36,45,0.2
10667,71,21.5,14,0.2
10668,31,12.5,8,0.1
10668,55,24,4,0.1
10668,64,33.25,15,0.1
10669,36,19,30,0
10670,23,9,32,0
10670,46,12,60,0
10670,67,14,25,0
10670,73,15,50,0
10670,75,7.75,25,0
10671,16,17.45,10,0
10671,62,49.3,10,0
10671,65,21.05,12,0
10672,38,263.5,15,0.1
10672,71,21.5,12,0
10673,16,17.45,3,0
10673,42,14,6,0
10673,43,46,6,0
10674,23,9,5,0
10675,14,23.25,30,0
10675,53,32.8,10,0
10675,58,13.25,30,0
10676,10,31,2,0
10676,19,9.2,7,0
10676,44,19.45,21,0
10677,26,31.23,30,0.15
10677,33,2.5,8,0.15
10678,12,38,100,0
10678,33,2.5,30,0
10678,41,9.65,120,0
10678,54,7.45,30,0
10679,59,55,12,0
10680,16,17.45,50,0.25
10680,31,12.5,20,0.25
10680,42,14,40,0.25
10681,19,9.2,30,0.1
10681,21,10,12,0.1
10681,64,33.25,28,0
10682,33,2.5,30,0
10682,66,17,4,0
10682,75,7.75,30,0
10683,52,7,9,0
10684,40,18.4,20,0
10684,47,9.5,40,0
10684,60,34,30,0
10685,10,31,20,0
10685,41,9.65,4,0
10685,47,9.5,15,0
10686,17,39,30,0.2
10686,26,31.23,15,0
10687,9,97,50,0.25
10687,29,123.79,10,0
10687,36,19,6,0.25
