IdPedido,IdProducto,PrecioUnidad,Cantidad,Descuento
10492,25,11.2,60,0.05
10492,42,11.2,20,0.05
10493,65,16.8,15,0.1
10493,66,13.6,10,0.1
10493,69,28.8,10,0.1
10494,56,30.4,30,0
10495,23,7.2,10,0
10495,41,7.7,20,0
10495,77,10.4,5,0
10496,31,10,20,0.05
10497,56,30.4,14,0
10497,72,27.8,25,0
10497,77,10.4,25,0
10498,24,4.5,14,0
10498,40,18.4,5,0
10498,42,14,30,0
10499,28,45.6,20,0
10499,49,20,25,0
10500,15,15.5,12,0.05
10500,28,45.6,8,0.05
10501,54,7.45,20,0
10502,45,9.5,21,0
10502,53,32.8,6,0
10502,67,14,30,0
10503,14,23.25,70,0
10503,65,21.05,20,0
10504,2,19,12,0
10504,21,10,12,0
10504,53,32.8,10,0
10504,61,28.5,25,0
10505,62,49.3,3,0
10506,25,14,18,0.1
10506,70,15,14,0.1
10507,43,46,15,0.15
10507,48,12.75,15,0.15
10508,13,6,10,0
10508,39,18,10,0
10509,28,45.6,3,0
10510,29,123.79,36,0
10510,75,7.75,36,0.1
10511,4,22,50,0.15
10511,7,30,50,0.15
10511,8,40,10,0.15
10512,24,4.5,10,0.15
10512,46,12,9,0.15
10512,47,9.5,6,0.15
10512,60,34,12,0.15
10513,21,10,40,0.2
10513,32,32,50,0.2
10513,61,28.5,15,0.2
10514,20,81,39,0
10514,28,45.6,35,0
10514,56,38,70,0
10514,65,21.05,39,0
10514,75,7.75,50,0
10515,9,97,16,0.15
10515,16,17.45,50,0
10515,27,43.9,120,0
10515,33,2.5,16,0.15
10515,60,34,84,0.15
10516,18,62.5,25,0.1
10516,41,9.65,80,0.1
10516,42,14,20,0
10517,52,7,6,0
10517,59,55,4,0
10517,70,15,6,0
10518,24,4.5,5,0
10518,38,263.5,15,0
10518,44,19.45,9,0
10519,10,31,16,0.05
10519,56,38,40,0
10519,60,34,10,0.05
10520,24,4.5,8,0
10520,53,32.8,5,0
10521,35,18,3,0
10521,41,9.65,10,0
10521,68,12.5,6,0
10522,1,18,40,0.2
10522,8,40,24,0
10522,30,25.89,20,0.2
10522,40,18.4,25,0.2
