IdPedido,IdProducto,PrecioUnidad,Cantidad,Descuento
10863,1,18,20,0.15
10863,58,13.25,12,0.15
10864,35,18,4,0
10864,67,14,15,0
10865,38,263.5,60,0.05
10865,39,18,80,0.05
10866,2,19,21,0.25
10866,24,4.5,6,0.25
10866,30,25.89,40,0.25
10867,53,32.8,3,0
10868,26,31.23,20,0
10868,35,18,30,0
10868,49,20,42,0.1
10869,1,18,40,0
10869,11,21,10,0
10869,23,9,50,0
10869,68,12.5,20,0
10870,35,18,3,0
10870,51,53,2,0
10871,6,25,50,0.05
10871,16,17.45,12,0.05
10871,17,39,16,0.05
10872,55,24,10,0.05
10872,62,49.3,20,0.05
10872,64,33.25,15,0.05
10872,65,21.05,21,0.05
10873,21,10,20,0
10873,28,45.6,3,0
10874,10,31,10,0
10875,19,9.2,25,0
10875,47,9.5,21,0.1
10875,49,20,15,0
10876,46,12,21,0
10876,64,33.25,20,0
10877,16,17.45,30,0.25
10877,18,62.5,25,0
10878,20,81,20,0.05
10879,40,18.4,12,0
10879,65,21.05,10,0
10879,76,18,10,0
10880,23,9,30,0.2
10880,61,28.5,30,0.2
10880,70,15,50,0.2
10881,73,15,10,0
10882,42,14,25,0
10882,49,20,20,0.15
10882,54,7.45,32,0.15
10883,24,4.5,8,0
10884,21,10,40,0.05
10884,56,38,21,0.05
10884,65,21.05,12,0.05
10885,2,19,20,0
10885,24,4.5,12,0
10885,70,15,30,0
10885,77,13,25,0
10886,10,31,70,0
10886,31,12.5,35,0
10886,77,13,40,0
10887,25,14,5,0
10888,2,19,20,0
10888,68,12.5,18,0
10889,11,21,40,0
10889,38,263.5,40,0
10890,17,39,15,0
10890,34,14,10,0
10890,41,9.65,14,0
10891,30,25.89,15,0.05
10892,59,55,40,0.05
10893,8,40,30,0
10893,24,4.5,10,0
10893,29,123.79,24,0
10893,30,25.89,35,0
10893,36,19,20,0
10894,13,6,28,0.05
10894,69,36,50,0.05
10894,75,7.75,120,0.05
10895,24,4.5,110,0
10895,39,18,45,0
10895,40,18.4,91,0
10895,60,34,100,0
10896,45,9.5,15,0
10896,56,38,16,0
10897,29,123.79,80,0
10897,30,25.89,36,0
10898,13,6,5,0
10899,39,18,8,0.15
10900,70,15,3,0.25
10901,41,9.65,30,0
10901,71,21.5,30,0
10902,55,24,30,0.15
10902,62,49.3,6,0.15
10903,13,6,40,0
10903,65,21.05,21,0
10903,68,12.5,20,0
10904,58,13.25,15,0
10904,62,49.3,35,0
10905,1,18,20,0.05
10906,61,28.5,15,0
10907,75,7.75,14,0
10908,7,30,20,0.05
10908,52,7,14,0.05
10909,7,30,12,0
10909,16,17.45,15,0
10909,41,9.65,5,0
10910,19,9.2,12,0
10910,49,20,10,0
10910,61,28.5,5,0
10911,1,18,10,0
10911,17,39,12,0
10911,67,14,15,0
10912,11,21,40,0.25
10912,29,123.79,60,0.25
10913,4,22,30,0.25
10913,33,2.5,40,0.25
10913,58,13.25,15,0
10914,71,21.5,25,0
10915,17,39,10,0
10915,33,2.5,30,0
10915,54,7.45,10,0
10916,16,17.45,6,0
10916,32,32,6,0
10916,57,19.5,20,0
