IdPedido,IdProducto,PrecioUnidad,Cantidad,Descuento
10295,56,30.4,4,0
10296,11,16.8,12,0
10296,16,13.9,30,0
10296,69,28.8,15,0
10297,39,14.4,60,0
10297,72,27.8,20,0
10298,2,15.2,40,0
10298,36,15.2,40,0.25
10298,59,44,30,0.25
10298,62,39.4,15,0
10299,19,7.3,15,0
10299,70,12,20,0
10300,66,13.6,30,0
10300,68,10,20,0
10301,40,14.7,10,0
10301,56,30.4,20,0
10302,17,31.2,40,0
10302,28,36.4,28,0
10302,43,36.8,12,0
10303,40,14.7,40,0.1
10303,65,16.8,30,0.1
10303,68,10,15,0.1
10304,49,16,30,0
10304,59,44,10,0
10304,71,17.2,2,0
10305,18,50,25,0.1
10305,29,99,25,0.1
10305,39,14.4,30,0.1
10306,30,20.7,10,0
10306,53,26.2,10,0
10306,54,5.9,5,0
10307,62,39.4,10,0
10307,68,10,3,0
10308,69,28.8,1,0
10308,70,12,5,0
10309,4,17.6,20,0
10309,6,20,30,0
10309,42,11.2,2,0
10309,43,36.8,20,0
10309,71,17.2,3,0
10310,16,13.9,10,0
10310,62,39.4,5,0
10311,42,11.2,6,0
10311,69,28.8,7,0
10312,28,36.4,4,0
10312,43,36.8,24,0
10312,53,26.2,20,0
10312,75,6.2,10,0
10313,36,15.2,12,0
10314,32,25.6,40,0.1
10314,58,10.6,30,0.1
10314,62,39.4,25,0.1
10315,34,11.2,14,0
10315,70,12,30,0
10316,41,7.7,10,0
10316,62,39.4,70,0
10317,1,14.4,20,0
