IdPedido,IdProducto,PrecioUnidad,Cantidad,Descuento
10760,25,14,12,0.25
10760,27,43.9,40,0
10760,43,46,30,0.25
10761,25,14,35,0.25
10761,75,7.75,18,0
10762,39,18,16,0
10762,47,9.5,30,0
10762,51,53,28,0
10762,56,38,60,0
10763,21,10,40,0
10763,22,21,6,0
10763,24,4.5,20,0
10764,3,10,20,0.1
10764,39,18,130,0.1
10765,65,21.05,80,0.1
10766,2,19,40,0
10766,7,30,35,0
10766,68,12.5,40,0
10767,42,14,2,0
10768,22,21,4,0
10768,31,12.5,50,0
10768,60,34,15,0
10768,71,21.5,12,0
10769,41,9.65,30,0.05
10769,52,7,15,0.05
10769,61,28.5,20,0
10769,62,49.3,15,0
10770,11,21,15,0.25
10771,71,21.5,16,0
10772,29,123.79,18,0
10772,59,55,25,0
10773,17,39,33,0
10773,31,12.5,70,0.2
10773,75,7.75,7,0.2
10774,31,12.5,2,0.25
10774,66,17,50,0
10775,10,31,6,0
10775,67,14,3,0
10776,31,12.5,16,0.05
10776,42,14,12,0.05
10776,45,9.5,27,0.05
10776,51,53,120,0.05
10777,42,14,20,0.2
10778,41,9.65,10,0
10779,16,17.45,20,0
10779,62,49.3,20,0
10780,70,15,35,0
10780,77,13,15,0
10781,54,7.45,3,0.2
10781,56,38,20,0.2
10781,74,10,35,0
10782,31,12.5,1,0
10783,31,12.5,10,0
10783,38,263.5,5,0
10784,36,19,30,0
10784,39,18,2,0.15
10784,72,34.8,30,0.15
10785,10,31,10,0
10785,75,7.75,10,0
10786,8,40,30,0.2
10786,30,25.89,15,0.2
10786,75,7.75,42,0.2
10787,2,19,15,0.05
10787,29,123.79,20,0.05
10788,19,9.2,50,0.05
10788,75,7.75,40,0.05
10789,18,62.5,30,0
10789,35,18,15,0
10789,63,43.9,30,0
10789,68,12.5,18,0
10790,7,30,3,0.15
10790,56,38,20,0.15
10791,29,123.79,14,0.05
10791,41,9.65,20,0.05
10792,2,19,10,0
10792,54,7.45,3,0
10792,68,12.5,15,0
10793,41,9.65,14,0
10793,52,7,8,0
10794,14,23.25,15,0.2
10794,54,7.45,6,0.2
10795,16,17.45,65,0
10795,17,39,35,0.25
10796,26,31.23,21,0.2
10796,44,19.45,10,0
10796,64,33.25,35,0.2
10796,69,36,24,0.2
10797,11,21,20,0
10798,62,49.3,2,0
10798,72,34.8,10,0
10799,13,6,20,0.15
10799,24,4.5,20,0.15
10799,59,55,25,0
10800,11,21,50,0.1
10800,51,53,10,0.1
10800,54,7.45,7,0.1
10801,17,39,40,0.25
10801,29,123.79,20,0.25
10802,30,25.89,25,0.25
10802,51,53,30,0.25
10802,55,24,60,0.25
10802,62,49.3,5,0.25
10803,19,9.2,24,0.05
10803,25,14,15,0.05
10803,59,55,15,0.05
10804,10,31,36,0
10804,28,45.6,24,0
10804,49,20,4,0.15
10805,34,14,10,0
10805,38,263.5,10,0
10806,2,19,20,0.25
10806,65,21.05,2,0
10806,74,10,15,0.25
10807,40,18.4,1,0
