IdPedido,IdProducto,PrecioUnidad,Cantidad,Descuento
10688,10,31,18,0.1
10688,28,45.6,60,0.1
10688,34,14,14,0
10689,1,18,35,0.25
10690,56,38,20,0.25
10690,77,13,30,0.25
10691,1,18,30,0
10691,29,123.79,40,0
10691,43,46,40,0
10691,44,19.45,24,0
10691,62,49.3,48,0
10692,63,43.9,20,0
10693,9,97,6,0
10693,54,7.45,60,0.15
10693,69,36,30,0.15
10693,73,15,15,0.15
10694,7,30,90,0
10694,59,55,25,0
10694,70,15,50,0
10695,8,40,10,0
10695,12,38,4,0
10695,24,4.5,20,0
10696,17,39,20,0
10696,46,12,18,0
10697,19,9.2,7,0.25
10697,35,18,9,0.25
10697,58,13.25,30,0.25
10697,70,15,30,0.25
10698,11,21,15,0
10698,17,39,8,0.05
10698,29,123.79,12,0.05
10698,65,21.05,65,0.05
10698,70,15,8,0.05
10699,47,9.5,12,0
10700,1,18,5,0.2
10700,34,14,12,0.2
10700,68,12.5,40,0.2
10700,71,21.5,60,0.2
10701,59,55,42,0.15
10701,71,21.5,20,0.15
10701,76,18,35,0.15
10702,3,10,6,0
10702,76,18,15,0
10703,2,19,5,0
10703,59,55,35,0
10703,73,15,35,0
10704,4,22,6,0
10704,24,4.5,35,0
10704,48,12.75,24,0
10705,31,12.5,20,0
10705,32,32,4,0
10706,16,17.45,20,0
10706,43,46,24,0
10706,59,55,8,0
10707,55,24,21,0
10707,57,19.5,40,0
10707,70,15,28,0.15
10708,5,21.35,4,0
10708,36,19,5,0
10709,8,40,40,0
10709,51,53,28,0
10709,60,34,10,0
10710,19,9.2,5,0
10710,47,9.5,5,0
10711,19,9.2,12,0
10711,41,9.65,42,0
10711,53,32.8,120,0
10712,53,32.8,3,0.05
10712,56,38,30,0
10713,10,31,18,0
10713,26,31.23,30,0
10713,45,9.5,110,0
10713,46,12,24,0
10714,2,19,30,0.25
10714,17,39,27,0.25
10714,47,9.5,50,0.25
10714,56,38,18,0.25
10714,58,13.25,12,0.25
10715,10,31,21,0
10715,71,21.5,30,0
10716,21,10,5,0
10716,51,53,7,0
10716,61,28.5,10,0
10717,21,10,32,0.05
10717,54,7.45,15,0
10717,69,36,25,0.05
10718,12,38,36,0
10718,16,17.45,20,0
10718,36,19,40,0
10718,62,49.3,20,0
10719,18,62.5,12,0.25
10719,30,25.89,3,0.25
10719,54,7.45,40,0.25
10720,35,18,21,0
10720,71,21.5,8,0
10721,44,19.45,50,0.05
10722,2,19,3,0
10722,31,12.5,50,0
10722,68,12.5,45,0
10722,75,7.75,42,0
10723,26,31.23,15,0
10724,10,31,16,0
10724,61,28.5,5,0
10725,41,9.65,12,0
10725,52,7,4,0
10725,55,24,6,0
