IdPedido,IdProducto,PrecioUnidad,Cantidad,Descuento
10808,56,38,20,0.15
10808,76,18,50,0.15
10809,52,7,20,0
10810,13,6,7,0
10810,25,14,5,0
10810,70,15,5,0
10811,19,9.2,15,0
10811,23,9,18,0
10811,40,18.4,30,0
10812,31,12.5,16,0.1
10812,72,34.8,40,0.1
10812,77,13,20,0
10813,2,19,12,0.2
10813,46,12,35,0
10814,41,9.65,20,0
10814,43,46,20,0.15
10814,48,12.75,8,0.15
10814,61,28.5,30,0.15
10815,33,2.5,16,0
10816,38,263.5,30,0.05
10816,62,49.3,20,0.05
10817,26,31.23,40,0.15
10817,38,263.5,30,0
10817,40,18.4,60,0.15
10817,62,49.3,25,0.15
10818,32,32,20,0
10818,41,9.65,20,0
10819,43,46,7,0
10819,75,7.75,20,0
10820,56,38,30,0
10821,35,18,20,0
10821,51,53,6,0
10822,62,49.3,3,0
10822,70,15,6,0
10823,11,21,20,0.1
10823,57,19.5,15,0
10823,59,55,40,0.1
10823,77,13,15,0.1
10824,41,9.65,12,0
10824,70,15,9,0
10825,26,31.23,12,0
10825,53,32.8,20,0
10826,31,12.5,35,0
10826,57,19.5,15,0
10827,10,31,15,0
10827,39,18,21,0
10828,20,81,5,0
10828,38,263.5,2,0
10829,2,19,10,0
10829,8,40,20,0
10829,13,6,10,0
10829,60,34,21,0
10830,6,25,6,0
10830,39,18,28,0
10830,60,34,30,0
10830,68,12.5,24,0
10831,19,9.2,2,0
10831,35,18,8,0
10831,38,263.5,8,0
10831,43,46,9,0
10832,13,6,3,0.2
10832,25,14,10,0.2
10832,44,19.45,16,0.2
10832,64,33.25,3,0
10833,7,30,20,0.1
10833,31,12.5,9,0.1
10833,53,32.8,9,0.1
10834,29,123.79,8,0.05
10834,30,25.89,20,0.05
10835,59,55,15,0
10835,77,13,2,0.2
10836,22,21,52,0
10836,35,18,6,0
10836,57,19.5,24,0
10836,60,34,60,0
10836,64,33.25,30,0
10837,13,6,6,0
10837,40,18.4,25,0
10837,47,9.5,40,0.25
10837,76,18,21,0.25
10838,1,18,4,0.25
10838,18,62.5,25,0.25
10838,36,19,50,0.25
10839,58,13.25,30,0.1
10839,72,34.8,15,0.1
10840,25,14,6,0.2
10840,39,18,10,0.2
10841,10,31,16,0
10841,56,38,30,0
10841,59,55,50,0
10841,77,13,15,0
10842,11,21,15,0
10842,43,46,5,0
10842,68,12.5,20,0
10842,70,15,12,0
10843,51,53,4,0.25
10844,22,21,35,0
10845,23,9,70,0.1
10845,35,18,25,0.1
10845,42,14,42,0.1
10845,58,13.25,60,0.1
10845,64,33.25,48,0
10846,4,22,21,0
10846,70,15,30,0
10846,74,10,20,0
10847,1,18,80,0.2
10847,19,9.2,12,0.2
10847,37,26,60,0.2
10847,45,9.5,36,0.2
10847,60,34,45,0.2
10847,71,21.5,55,0.2
10848,5,21.35,30,0
10848,9,97,3,0
10849,3,10,49,0
10849,26,31.23,18,0.15
10850,25,14,20,0.15
10850,33,2.5,4,0.15
10850,70,15,30,0.15
10851,2,19,5,0.05
10851,25,14,10,0.05
10851,57,19.5,10,0.05
10851,59,55,42,0.05
10852,2,19,15,0
10852,17,39,6,0
10852,62,49.3,50,0
10853,18,62.5,10,0
10854,10,31,100,0.15
10854,13,6,65,0.15
10855,16,17.45,50,0
10855,31,12.5,14,0
10855,56,38,24,0
10855,65,21.05,15,0.15
10856,2,19,20,0
10856,42,14,20,0
10857,3,10,30,0
10857,26,31.23,35,0.25
10857,29,123.79,10,0.25
10858,7,30,5,0
10858,27,43.9,10,0
10858,70,15,4,0
10859,24,4.5,40,0.25
10859,54,7.45,35,0.25
10859,64,33.25,30,0.25
10860,51,53,3,0
10860,76,18,20,0
10861,17,39,42,0
10861,18,62.5,20,0
10861,21,10,40,0
10861,33,2.5,35,0
10861,62,49.3,3,0
10862,11,21,25,0
10862,52,7,8,0
