IdPedido,IdProducto,PrecioUnidad,Cantidad,Descuento
10270,36,15.2,30,0
10270,43,36.8,25,0
10271,33,2,24,0
10272,20,64.8,6,0
10272,31,10,40,0
10272,72,27.8,24,0
10273,10,24.8,24,0.05
10273,31,10,15,0.05
10273,33,2,20,0
10273,40,14.7,60,0.05
10273,76,14.4,33,0.05
10274,71,17.2,20,0
10274,72,27.8,7,0
10275,24,3.6,12,0.05
10275,59,44,6,0.05
10276,10,24.8,15,0
10276,13,4.8,10,0
10277,28,36.4,20,0
10277,62,39.4,12,0
10278,44,15.5,16,0
10278,59,44,15,0
10278,63,35.1,8,0
10278,73,12,25,0
10279,17,31.2,15,0.25
10280,24,3.6,12,0
10280,55,19.2,20,0
10280,75,6.2,30,0
10281,19,7.3,1,0
10281,24,3.6,6,0
10281,35,14.4,4,0
10282,30,20.7,6,0
10282,57,15.6,2,0
10283,15,12.4,20,0
10283,19,7.3,18,0
10283,60,27.2,35,0
10283,72,27.8,3,0
10284,27,35.1,15,0.25
10284,44,15.5,21,0
10284,60,27.2,20,0.25
10284,67,11.2,5,0.25
10285,1,14.4,45,0.2
10285,40,14.7,40,0.2
10285,53,26.2,36,0.2
10286,35,14.4,100,0
10286,62,39.4,40,0
10287,16,13.9,40,0.15
10287,34,11.2,20,0
10287,46,9.6,15,0.15
10288,54,5.9,10,0.1
10288,68,10,3,0.1
10289,3,8,30,0
10289,64,26.6,9,0
10290,5,17,20,0
10290,29,99,15,0
10290,49,16,15,0
10290,77,10.4,10,0
10291,13,4.8,20,0.1
10291,44,15.5,24,0.1
10291,51,42.4,2,0.1
10292,20,64.8,20,0
10293,18,50,12,0
10293,24,3.6,10,0
10293,63,35.1,5,0
10293,75,6.2,6,0
10294,1,14.4,18,0
10294,17,31.2,15,0
10294,43,36.8,15,0
10294,60,27.2,21,0
10294,75,6.2,6,0
