IdPedido,IdCliente,IdEmpleado,FechaPedido,FechaEntrega,FechaEnvio,IdTransportista,Cargo,NombreDestinatario,DireccionDestinatario,CiudadDestinatario,RegionDestinatario,CodPostalDestinatario,PaisDestinatario
10555,SAVEA,6,2025-06-02,2025-06-30,2025-06-04,3,252.49,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,Estados Unidos
10556,SIMOB,2,2025-06-03,2025-07-15,2025-06-13,1,9.8,Simons bistro,Vinbæltet 34,Kobenhavn,,1734,Dinamarca
10557,LEHMS,9,2025-06-03,2025-06-17,2025-06-06,2,96.72,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Alemania
10558,AROUT,1,2025-06-04,2025-07-02,2025-06-10,2,72.97,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,Reino Unido
10559,BLONP,6,2025-06-05,2025-07-03,2025-06-13,1,8.05,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,Francia
10560,FRANK,8,2025-06-06,2025-07-04,2025-06-09,1,36.65,Frankenversand,Berliner Platz 43,München,,80805,Alemania
10561,FOLKO,2,2025-06-06,2025-07-04,2025-06-09,2,242.21,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Suecia
10562,REGGC,1,2025-06-09,2025-07-07,2025-06-12,1,22.95,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,,42100,Italia
10563,RICAR,2,2025-06-10,2025-07-22,2025-06-24,2,60.43,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brasil
10564,RATTC,4,2025-06-10,2025-07-08,2025-06-16,3,13.75,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,Estados Unidos
10565,MEREP,8,2025-06-11,2025-07-09,2025-06-18,2,7.15,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
10566,BLONP,9,2025-06-12,2025-07-10,2025-06-18,1,88.4,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,Francia
10567,HUNGO,1,2025-06-12,2025-07-10,2025-06-17,1,33.97,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Irlanda
10568,GALED,3,2025-06-13,2025-07-11,2025-07-09,3,6.54,Galería del gastronómo,"Rambla de Cataluña, 23",Barcelona,,8022,España
10569,RATTC,5,2025-06-16,2025-07-14,2025-07-11,1,58.98,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,Estados Unidos
10570,MEREP,3,2025-06-17,2025-07-15,2025-06-19,3,188.99,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
10571,ERNSH,8,2025-06-17,2025-07-29,2025-07-04,3,26.06,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10572,BERGS,3,2025-06-18,2025-07-16,2025-06-25,2,116.43,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Suecia
10573,ANTON,7,2025-06-19,2025-07-17,2025-06-20,3,84.84,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico
10574,TRAIH,4,2025-06-19,2025-07-17,2025-06-30,2,37.6,Trail's Head Gourmet Provisioners,722 DaVinci Blvd.,Kirkland,WA,98034,Estados Unidos
10575,MORGK,5,2025-06-20,2025-07-04,2025-06-30,1,127.34,Morgenstern Gesundkost,Heerstr. 22,Leipzig,,04179,Alemania
10576,TORTU,3,2025-06-23,2025-07-07,2025-06-30,3,18.56,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico
10577,TRAIH,9,2025-06-23,2025-08-04,2025-06-30,2,25.41,Trail's Head Gourmet Provisioners,722 DaVinci Blvd.,Kirkland,WA,98034,Estados Unidos
10578,BSBEV,4,2025-06-24,2025-07-22,2025-07-25,3,29.6,B's Beverages,Fauntleroy Circus,London,,EC2 5NT,Reino Unido
10579,LETSS,1,2025-06-25,2025-07-23,2025-07-04,2,13.73,Let's Stop N Shop,87 Polk St. Suite 5,San Francisco,CA,94117,Estados Unidos
10580,OTTIK,4,2025-06-26,2025-07-24,2025-07-01,3,75.89,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Alemania
10581,FAMIA,3,2025-06-26,2025-07-24,2025-07-02,1,3.01,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brasil
10582,BLAUS,3,2025-06-27,2025-07-25,2025-07-14,2,27.71,Blauer See Delikatessen,Forsterstr. 57,Mannheim,,68306,Alemania
10583,WARTH,2,2025-06-30,2025-07-28,2025-07-04,2,7.28,Wartian Herkku,Torikatu 38,Oulu,,90110,Finlandia
10584,BLONP,4,2025-06-30,2025-07-28,2025-07-04,1,59.14,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,Francia
