IdPedido,IdCliente,IdEmpleado,FechaPedido,FechaEntrega,FechaEnvio,IdTransportista,Cargo,NombreDestinatario,DireccionDestinatario,CiudadDestinatario,RegionDestinatario,CodPostalDestinatario,PaisDestinatario
10344,WHITC,4,2024-11-01,2024-11-29,2024-11-05,2,23.29,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,Estados Unidos
10345,QUICK,2,2024-11-04,2024-12-02,2024-11-11,2,249.06,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Alemania
10346,RATTC,3,2024-11-05,2024-12-17,2024-11-08,3,142.08,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,Estados Unidos
10347,FAMIA,4,2024-11-06,2024-12-04,2024-11-08,3,3.1,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brasil
10348,WANDK,4,2024-11-07,2024-12-05,2024-11-15,2,0.78,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Alemania
10349,SPLIR,7,2024-11-08,2024-12-06,2024-11-15,1,8.63,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,Estados Unidos
10350,LAMAI,6,2024-11-11,2024-12-09,2024-12-03,2,64.19,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,Francia
10351,ERNSH,1,2024-11-11,2024-12-09,2024-11-20,1,162.33,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10352,FURIB,3,2024-11-12,2024-11-26,2024-11-18,3,1.3,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,,1675,Portugal
10353,PICCO,7,2024-11-13,2024-12-11,2024-11-25,3,360.63,Piccolo und mehr,Geislweg 14,Salzburg,,5020,Austria
10354,PERIC,8,2024-11-14,2024-12-12,2024-11-20,3,53.8,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,,05033,Mexico
10355,AROUT,6,2024-11-15,2024-12-13,2024-11-20,1,41.95,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,Reino Unido
10356,WANDK,6,2024-11-18,2024-12-16,2024-11-27,2,36.71,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Alemania
10357,LILAS,1,2024-11-19,2024-12-17,2024-12-02,3,34.88,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10358,LAMAI,5,2024-11-20,2024-12-18,2024-11-27,1,19.64,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,Francia
10359,SEVES,5,2024-11-21,2024-12-19,2024-11-26,3,288.43,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,Reino Unido
10360,BLONP,4,2024-11-22,2024-12-20,2024-12-02,3,131.7,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,Francia
10361,QUICK,1,2024-11-22,2024-12-20,2024-12-03,2,183.17,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Alemania
10362,BONAP,3,2024-11-25,2024-12-23,2024-11-28,1,96.04,Bon app',"12, rue des Bouchers",Marseille,,13008,Francia
10363,DRACD,4,2024-11-26,2024-12-24,2024-12-04,3,30.54,Drachenblut Delikatessen,Walserweg 21,Aachen,,52066,Alemania
10364,EASTC,1,2024-11-26,2025-01-07,2024-12-04,1,71.97,Eastern Connection,35 King George,London,,WX3 6FW,Reino Unido
10365,ANTON,3,2024-11-27,2024-12-25,2024-12-02,2,22,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico
10366,GALED,8,2024-11-28,2025-01-09,2024-12-30,2,10.14,Galería del gastronómo,"Rambla de Cataluña, 23",Barcelona,,8022,España
10367,VAFFE,7,2024-11-28,2024-12-26,2024-12-02,3,13.55,Vaffeljernet,Smagsloget 45,Århus,,8200,Dinamarca
10368,ERNSH,2,2024-11-29,2024-12-27,2024-12-02,2,101.95,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
